Normalized Date,Value,Site_ID,Data_Type
0.45060240963855425,0.1514423076923101,318,Chlorophyll
0.527710843373494,2.1706730769230766,318,Chlorophyll
0.6144578313253013,0.3533653846153832,318,Chlorophyll
0.691566265060241,3.18028846153846,318,Chlorophyll
0.7686746987951807,2.1706730769230766,318,Chlorophyll
0.8457831325301206,1.5649038461538467,318,Chlorophyll
0.9132530120481928,0.3533653846153832,318,Chlorophyll
0.0578313253012048,0.7572115384615365,318,Chlorophyll
0.1349397590361445,0.5552884615384599,318,Chlorophyll
0.2120481927710844,0.9591346153846168,318,Chlorophyll
0.2891566265060241,7.622596153846157,318,Chlorophyll
0.3373493975903614,8.632211538461542,318,Chlorophyll
0.5012048192771084,6.00721153846154,318,Chlorophyll
0.5783132530120483,3.786057692307693,318,Chlorophyll
0.7325301204819277,3.98798076923077,318,Chlorophyll
0.8096385542168676,6.209134615384617,318,Chlorophyll
0.8867469879518071,2.574519230769233,318,Chlorophyll
0.9421686746987956,3.38221153846154,318,Chlorophyll
1.0506024096385542,3.98798076923077,318,Chlorophyll
1.1349397590361443,0.9591346153846168,318,Chlorophyll
1.214457831325301,3.48317307692308,318,Chlorophyll
1.2987951807228917,0.4038461538461533,318,Chlorophyll
1.3349397590361445,17.971153846153854,318,Chlorophyll
1.414457831325302,1.0600961538461533,318,Chlorophyll
1.498795180722892,4.59375,318,Chlorophyll
1.6216867469879517,2.574519230769233,318,Chlorophyll
1.701204819277108,1.1610576923076934,318,Chlorophyll
1.7831325301204823,1.6153846153846168,318,Chlorophyll
1.8530120481927712,2.3221153846153832,318,Chlorophyll
0.2528774053663384,4.454440328846328,93,Chlorophyll
0.3369319721745415,6.570909747944711,93,Chlorophyll
0.4185834312042642,4.967368325955372,93,Chlorophyll
0.5013912729243835,5.153907308699974,93,Chlorophyll
0.5838919504923661,4.864956183937123,93,Chlorophyll
0.6693558587044899,5.163086096304997,93,Chlorophyll
0.7489475110669437,4.370963953383324,93,Chlorophyll
0.8319541060619747,4.865173005691572,93,Chlorophyll
0.9173638088354864,5.079392899087543,93,Chlorophyll
0.9999728972806938,4.958261812268498,93,Chlorophyll
1.0824013009305269,4.557430662209776,93,Chlorophyll
1.1669256482067032,3.401120245731322,93,Chlorophyll
1.2477820941367783,4.566898545487398,93,Chlorophyll
1.3361369590748935,5.340229469690127,93,Chlorophyll
1.416397145180233,5.582997560755263,93,Chlorophyll
1.4981931520462552,4.203216189357667,93,Chlorophyll
0.2475580879088352,39.44206008583691,72,Chlorophyll
0.3252552908095308,39.012875536480685,72,Chlorophyll
0.4131197276898031,39.27038626609442,72,Chlorophyll
0.4906393369838685,39.52789699570816,72,Chlorophyll
0.5733979576735236,39.52789699570816,72,Chlorophyll
0.661639780967885,38.32618025751073,72,Chlorophyll
0.7439988160426223,39.87124463519313,72,Chlorophyll
0.8315746633121206,41.24463519313304,72,Chlorophyll
